quarter,recruitment_rate,resignation_rate
1990-Q1,4.8,4.8
1990-Q2,5.2,4.4
1990-Q3,4.4,3.7
1990-Q4,3.9,3
1991-Q1,3.9,4
1991-Q2,4.4,4.1
1991-Q3,3.9,3.5
1991-Q4,3.4,2.6
1992-Q1,3.9,4
1992-Q2,4.2,3.7
1992-Q3,3.6,3.2
1992-Q4,3,2.4
1993-Q1,3.8,3.8
1993-Q2,4.1,3.5
1993-Q3,3.5,3
1993-Q4,3.1,2.3
1994-Q1,3.4,3.7
1994-Q2,4,3.4
1994-Q3,3.6,3
1994-Q4,3,2.2
1995-Q1,3.8,3.6
1995-Q2,4,3.4
1995-Q3,3.4,2.8
1995-Q4,3,2.2
1996-Q1,3.2,3.2
1996-Q2,3.8,3.2
1996-Q3,3.1,2.6
1996-Q4,2.7,2.1
1997-Q1,3.2,3.2
1997-Q2,3.5,3.1
1997-Q3,3.4,2.6
1997-Q4,2.7,2
1998-Q1,2.7,2.5
1998-Q2,2.4,2.2
1998-Q3,2.2,1.9
1998-Q4,2,1.7
1999-Q1,2.1,2
1999-Q2,2.7,2.3
1999-Q3,2.9,2.3
1999-Q4,2.7,2
2000-Q1,3,2.7
2000-Q2,3.5,2.7
2000-Q3,3.4,2.5
2000-Q4,2.8,2
2001-Q1,3,2.8
2001-Q2,2.7,2.4
2001-Q3,2.4,2.1
2001-Q4,1.9,1.7
2002-Q1,2.1,2
2002-Q2,2.5,2.2
2002-Q3,2.7,2.2
2002-Q4,2.2,1.9
2003-Q1,2.3,2.2
2003-Q2,2.2,2.1
2003-Q3,2.5,2
2003-Q4,2.4,1.8
2004-Q1,2.7,2.3
2004-Q2,3,2.3
2004-Q3,3,2.2
2004-Q4,2.5,1.9
2005-Q1,2.5,2.1
2005-Q2,2.8,2.2
2005-Q3,2.9,2.1
2005-Q4,2.6,1.8
2006-Q1,2.7,2
2006-Q2,2.9,2.1
2006-Q3,3.1,2
2006-Q4,2.6,1.7
2007-Q1,2.6,2
2007-Q2,3.3,2.2
2007-Q3,3.2,2.1
2007-Q4,2.7,1.7
2008-Q1,2.8,2
2008-Q2,3.2,2.3
2008-Q3,3.1,2
2008-Q4,2.2,1.6
2009-Q1,1.9,1.8
2009-Q2,2.1,1.8
2009-Q3,2.5,1.8
2009-Q4,2.4,1.7
2010-Q1,2.6,2
2010-Q2,2.9,2.2
2010-Q3,3,2.1
2010-Q4,2.6,1.8
2011-Q1,2.6,2
2011-Q2,2.8,2.1
2011-Q3,3,2.1
2011-Q4,2.6,1.7
2012-Q1,2.7,2.1
2012-Q2,2.9,2.2
2012-Q3,2.8,2.1
2012-Q4,2.6,1.8
2013-Q1,2.7,2.1
2013-Q2,3,2.2
2013-Q3,2.8,2
2013-Q4,2.4,1.7
2014-Q1,2.5,2.1
2014-Q2,2.8,2.2
2014-Q3,2.8,2.1
2014-Q4,2.3,1.7
2015-Q1,2.3,1.9
2015-Q2,2.6,2.1
2015-Q3,2.5,1.9
2015-Q4,2.2,1.7
2016-Q1,2.3,1.8
2016-Q2,2.4,2
2016-Q3,2.2,1.8
2016-Q4,2,1.6
2017-Q1,2,1.8
2017-Q2,2.2,1.9
2017-Q3,2.2,1.8
2017-Q4,2.1,1.7
2018-Q1,2.2,1.8
2018-Q2,2.5,2
2018-Q3,2.3,1.7
2018-Q4,2.1,1.6
2019-Q1,2.2,1.8
2019-Q2,2.4,2
2019-Q3,2.4,1.8
2019-Q4,2,1.5
2020-Q1,1.9,1.7
